T,Time,Avg,Acceleration
1,6180.86,404.73,1.00
2,5230.33,219.58,1.84
3,4804.48,146.93,2.75
4,4801.16,117.52,3.44
5,4546.41,95.69,4.23
6,4462.37,81.87,4.94
7,4439.83,70.36,5.75
8,4411.86,66.48,6.09
9,4370.31,62.42,6.48
10,4306.56,57.06,7.09
11,4297.54,51.76,7.82
12,4443.75,48.00,8.43
13,4415.10,44.60,9.07
14,4282.45,41.31,9.80
15,4204.61,38.83,10.42
16,4214.51,36.75,11.01
17,4254.74,34.58,11.70
18,4182.97,33.02,12.26
19,4269.56,31.74,12.75
20,4288.00,30.31,13.35
21,4344.24,31.17,12.99
22,4306.75,31.19,12.98
23,4315.35,28.30,14.30
24,4151.42,31.51,12.84
25,4146.83,30.18,13.41
26,4254.84,29.22,13.85
27,4288.39,29.11,13.90
28,4269.82,29.93,13.52
29,4115.52,28.71,14.10
30,4136.05,28.99,13.96
31,4141.60,30.24,13.39
32,4253.95,31.75,12.75
33,4195.11,32.06,12.62
34,4151.43,32.22,12.56
35,4244.15,33.51,12.08
36,4168.15,35.31,11.46
37,4224.27,35.85,11.29
38,4291.02,33.42,12.11
39,4250.74,34.22,11.83
40,4270.88,34.68,11.67
41,4211.99,34.89,11.60
42,4240.23,35.27,11.48
43,4294.56,35.76,11.32
44,4257.29,35.43,11.42
45,4267.65,35.76,11.32
46,4432.06,36.15,11.20
47,4430.52,36.11,11.21
48,4305.62,35.55,11.39
