T,Time,Avg,Acceleration
1,6280.70,420.40,1.00
2,5423.39,250.94,1.68
3,5086.75,179.49,2.34
4,5013.29,158.21,2.66
5,4905.44,150.73,2.79
6,4834.52,155.26,2.71
7,4795.60,142.18,2.96
8,4875.09,152.52,2.76
9,5011.56,161.51,2.60
10,5156.20,169.15,2.49
11,5044.64,170.97,2.46
12,4884.75,164.24,2.56
13,5035.75,169.14,2.49
14,5038.45,165.85,2.53
15,4970.39,162.95,2.58
16,4977.72,160.22,2.62
17,4924.78,161.78,2.60
18,4860.72,156.87,2.68
19,4873.61,147.54,2.85
20,4750.98,133.56,3.15
21,4674.30,115.72,3.63
22,4667.30,103.16,4.08
23,4594.80,108.82,3.86
24,4717.61,117.40,3.58
25,4776.48,117.66,3.57
26,4622.29,116.41,3.61
27,4605.51,114.87,3.66
28,4635.97,115.07,3.65
29,4632.81,113.11,3.72
30,4660.87,115.10,3.65
31,4521.25,110.75,3.80
32,4645.91,117.79,3.57
33,4616.52,115.94,3.63
34,4733.27,114.47,3.67
35,4645.12,115.74,3.63
36,4568.72,103.93,4.05
37,4504.74,101.66,4.14
38,4589.02,101.33,4.15
39,4541.71,98.51,4.27
40,4612.33,101.95,4.12
41,4529.64,98.21,4.28
42,4539.04,93.73,4.49
43,4601.57,89.26,4.71
44,4521.59,97.05,4.33
45,4762.90,121.62,3.46
46,4531.47,96.42,4.36
47,4799.83,122.12,3.44
48,4841.26,131.99,3.19
