T,Time,Avg,Acceleration
1,6453.68,453.75,1.00
2,5329.37,218.21,2.08
3,4863.67,145.94,3.11
4,4698.36,113.07,4.01
5,4571.19,92.07,4.93
6,4526.94,80.55,5.63
7,4518.94,68.63,6.61
8,4496.97,69.95,6.49
9,4453.43,64.75,7.01
10,4369.87,48.90,9.28
11,4405.52,51.53,8.81
12,4393.17,49.07,9.25
13,4374.62,45.44,9.98
14,4455.07,42.58,10.66
15,4472.13,39.87,11.38
16,4394.41,37.59,12.07
17,4333.06,35.57,12.76
18,4335.79,33.71,13.46
19,4312.06,32.19,14.10
20,4330.04,30.83,14.72
21,4351.31,29.73,15.26
22,4261.67,28.63,15.85
23,4258.00,28.10,16.15
24,4177.81,27.23,16.66
25,4129.00,26.60,17.06
26,4176.66,26.14,17.36
27,4111.50,26.10,17.39
28,4144.53,28.36,16.00
29,4171.19,28.67,15.83
30,4166.03,29.77,15.24
31,4200.65,29.02,15.63
32,4223.78,32.24,14.07
33,4234.49,31.58,14.37
34,4179.78,31.28,14.50
35,4212.46,32.42,14.00
36,4185.35,33.15,13.69
37,4183.23,31.77,14.28
38,4181.75,32.03,14.16
39,4263.29,33.86,13.40
40,4305.88,35.65,12.73
41,4252.90,35.53,12.77
42,4334.46,35.43,12.81
43,4253.15,35.24,12.87
44,4184.63,35.64,12.73
45,4258.34,36.35,12.48
46,4365.86,35.68,12.72
47,4330.72,35.43,12.81
48,4304.73,35.44,12.80
