T,Time,Avg,Acceleration
1,6198.09,396.75,1.00
2,5422.18,234.05,1.70
3,5255.04,179.07,2.22
4,5141.61,155.03,2.56
5,5095.75,147.45,2.69
6,5122.80,157.62,2.52
7,5112.74,165.78,2.39
8,5098.22,162.13,2.45
9,4934.83,154.19,2.57
10,5008.96,165.68,2.39
11,5138.67,175.22,2.26
12,5149.36,181.98,2.18
13,5020.92,175.55,2.26
14,5076.81,173.72,2.28
15,5040.73,167.22,2.37
16,4932.02,149.98,2.65
17,5010.08,147.87,2.68
18,4945.99,147.73,2.69
19,4852.64,141.33,2.81
20,4857.27,131.53,3.02
21,4794.07,117.57,3.37
22,4690.99,106.15,3.74
23,4735.72,98.26,4.04
24,4823.19,123.18,3.22
25,4809.02,125.15,3.17
26,4870.07,122.16,3.25
27,4818.46,117.37,3.38
28,4731.88,113.49,3.50
29,4711.11,110.93,3.58
30,4722.76,114.29,3.47
31,4782.18,113.61,3.49
32,4731.05,116.01,3.42
33,4892.14,135.12,2.94
34,4705.43,113.04,3.51
35,4774.10,122.90,3.23
36,4699.48,110.14,3.60
37,4701.06,106.67,3.72
38,4653.80,101.91,3.89
39,4771.34,101.56,3.91
40,4790.04,103.74,3.82
41,4800.70,98.83,4.01
42,4833.61,100.50,3.95
43,4720.57,105.49,3.76
44,4768.15,100.77,3.94
45,4656.10,93.81,4.23
46,4814.83,118.77,3.34
47,4783.47,120.80,3.28
48,5118.03,154.80,2.56
