T,Time,Avg,Acceleration
1,6250.19,414.69,1.00
2,5295.57,216.67,1.91
3,4849.61,145.58,2.85
4,4656.55,113.50,3.65
5,4686.69,95.28,4.35
6,4459.98,80.14,5.17
7,4444.80,70.02,5.92
8,4482.37,59.14,7.01
9,4379.16,64.66,6.41
10,4337.26,59.11,7.02
11,4347.37,54.15,7.66
12,4397.54,49.65,8.35
13,4364.97,46.16,8.98
14,4316.39,43.09,9.62
15,4273.38,40.27,10.30
16,4277.97,38.10,10.88
17,4302.69,35.90,11.55
18,4351.08,34.14,12.15
19,4281.96,32.80,12.64
20,4222.32,31.08,13.34
21,4238.84,30.05,13.80
22,4215.25,28.80,14.40
23,4231.90,28.03,14.80
24,4193.53,27.33,15.17
25,4193.12,26.78,15.48
26,4194.27,27.13,15.29
27,4156.73,25.66,16.16
28,4391.35,28.08,14.77
29,4148.38,28.46,14.57
30,4153.44,29.01,14.30
31,4171.52,29.79,13.92
32,4197.42,31.12,13.32
33,4167.68,31.17,13.31
34,4142.93,32.36,12.82
35,4167.58,32.43,12.79
36,4259.55,33.32,12.44
37,4198.42,33.32,12.45
38,4188.50,33.87,12.24
39,4189.16,34.63,11.97
40,4174.74,35.85,11.57
41,4229.07,35.16,11.80
42,4242.03,35.45,11.70
43,4309.79,36.18,11.46
44,4460.06,37.19,11.15
45,4172.85,35.89,11.56
46,4235.53,36.02,11.51
47,4287.86,36.41,11.39
48,4340.90,36.81,11.26
