T,Time,Avg,Acceleration
1,5318.71,1060.59,1.00
2,2944.95,586.07,1.81
3,2683.24,533.53,1.99
4,2105.66,417.98,2.54
5,2014.98,400.06,2.65
6,1630.98,323.15,3.28
7,1527.19,302.50,3.51
8,1389.91,275.11,3.86
9,1317.23,260.01,4.08
10,1216.20,239.87,4.42
11,1184.03,233.40,4.54
12,1106.43,217.87,4.87
13,1067.86,210.17,5.05
14,988.32,194.05,5.47
15,923.64,181.14,5.86
16,1017.29,200.02,5.30
17,1028.31,202.13,5.25
18,1066.22,209.62,5.06
19,1017.35,199.84,5.31
20,900.74,176.36,6.01
21,1002.98,196.62,5.39
22,971.03,190.28,5.57
23,961.91,188.26,5.63
24,983.41,192.81,5.50
25,910.15,178.29,5.95
26,939.87,184.58,5.75
27,1005.05,197.47,5.37
28,1007.24,197.79,5.36
29,1000.52,196.64,5.39
30,985.82,193.15,5.49
31,941.56,183.61,5.78
32,939.00,183.43,5.78
33,959.98,187.71,5.65
34,922.20,180.18,5.89
35,916.91,179.08,5.92
36,922.90,180.85,5.86
37,880.30,171.61,6.18
38,924.85,180.47,5.88
39,921.96,180.04,5.89
40,892.30,174.05,6.09
41,906.73,177.35,5.98
42,892.77,174.30,6.08
43,890.59,173.52,6.11
44,874.37,170.02,6.24
45,897.11,174.78,6.07
46,892.61,173.18,6.12
47,888.56,172.38,6.15
48,911.89,177.65,5.97
